"Produto";"valor_maio_21";"Variação_12m";"Variação_1m"
"Gasóleo (óleo diesel)";"590,60";"+85,46%";"-4,99%"
"Óleos brutos de petróleo";"318,44";"+1,89%";"-35,59%"
"Naftas para Petroquímica";"312,54";"-47,08%";"+72,08%"
"Diidrogenoortofosfato de amônio";"303,41";"+22,66%";"+74,06%"
"Gás Liquefeito de Gás Natural (GLGN)";"247,36";"-18,47%";"+159,15%"
