"CO_NCM";"total";"produto";"total_bilhoes"
12019000;5299512249;"Soja";5299,512249
26011100;4745454382;"Minério de Ferro";4745,454382
27090010;3572064344;"Óleos brutos de petróleo";3572,064344
17011400;821768573;"Outros açúcares de cana";821,768573
2023000;656990822;"Carne de Bovino desossadas, congeladas";656,990822
