"CO_NCM";"total";"produto";"total_bilhoes"
27101921;590599288;"Gasóleo (óleo diesel)";590,599288
27090010;318442506;"Óleos brutos de petróleo";318,442506
27101241;312540446;"Naftas para Petroquímica";312,540446
31054000;303405515;"Diidrogenoortofosfato de amônio";303,405515
27111100;247358890;"Gás Liquefeito de Gás Natural (GLGN)";247,35889
